id,titre,prix,statut,motif_exclusion,niveau_risque,corrections_appliquees,rang_tri
2497,"JC102 Mesa de Centro",109.45,INCLUS,,MÉDIO,"description nettoyée",941
2498,"JE102 Mesa de Centro",125.95,INCLUS,,MÉDIO,"description nettoyée",937
2501,"FLMIX 364 - 80 X 150 (SORTIDA)",15.20,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2502,"FLMIX 364 - 120 X 160 (SORTIDA)",29.00,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2503,"FLMIX 364 - 120 X 170 (SORTIDA)",23.20,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2504,"FLMIX 364 - 120 X 180 (SORTIDA)",23.20,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2505,"FLMIX 364 - 130 X 190 (SORTIDA)",39.00,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2506,"FLMIX 364 - 133 X 190 (SORTIDA)",31.20,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2507,"FLMIX 364 - 140 X 200 (SORTIDA)",39.00,EXCLU,"prix < 80 € ; aucune image ; hors stock ; image placeholder",OK,,
2508,"FLMIX 364 - 160 X 225 (SORTIDA)",59.00,EXCLU,"prix < 80 € ; aucune image ; hors stock ; image placeholder",OK,,
2509,"FLMIX 364 - 160 X 230 (SORTIDA)",47.20,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2510,"FLMIX 364 - 160 X 235 (SORTIDA)",47.20,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2511,"FLMIX 364 - 200 X 285 (SORTIDA)",71.20,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2512,"FLMIX 364 - 200 X 290 (SORTIDA)",71.20,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2513,"CONJ. CHAVENÁS 6PC 207-22",7.20,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2514,"CONJ. 2 MESAS APOIO QUAD SK 804-465",12.00,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2515,"CABIDE ROUPA MOVEL 80X43X90 160CM 804-477",6.00,EXCLU,"prix < 80 € ; aucune image ; hors stock ; image placeholder",OK,,
2516,"ROUPEIRO TECIDO 75X46X160CM SK 804-530",10.00,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2517,"SET 6 CHAVENÁS CAFÉ C/ PRATO 425-01",6.40,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2518,"SET 6 CHAVENÁS CAFÉ C/ PRATO 425-02",4.00,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2519,"TAÇA RED CER. BRANCA SET 3UN. 425-09",2.00,EXCLU,"prix < 80 € ; aucune image ; hors stock ; image placeholder",OK,,
2520,"TAÇA OVAL CER. SET 2UN 425-10",1.60,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2521,"TAÇA RED CER. SET 4UN. 425-11",1.60,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2522,"LANTERNA MADEIRA 12X12X31CM 0598-04",4.00,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2523,"PORTA VELA - IM.A12.CB003",15.00,EXCLU,"prix < 80 €",OK,,
2524,"PORTA VELA - IM.A12.CB004",10.00,EXCLU,"prix < 80 €",OK,,
2525,"PEÇA DECORATIVA - IM.A12.PD011",30.00,EXCLU,"prix < 80 €",OK,,
2526,"PEÇA DECORATIVA DOURADA - IM.A12.PD015",20.00,EXCLU,"prix < 80 €",OK,,
2527,"PEÇA DECORATIVA DOURADA - IM.A12.PD016",20.00,EXCLU,"prix < 80 €",OK,,
2528,"PEÇA DECORATIVA DOURADA - IM.A12.PD018",15.00,EXCLU,"prix < 80 €",OK,,
2529,"PEÇA DECORATIVA - IM.A12.PD019",20.00,EXCLU,"prix < 80 €",OK,,
2530,"PORTA REVISTAS - IM.A12.PR003",40.00,EXCLU,"prix < 80 €",OK,,
2531,"JARRA - IM.A18.JR003",30.00,EXCLU,"prix < 80 €",OK,,
2532,"JARRA - IM.A18.JR004",30.00,EXCLU,"prix < 80 €",OK,,
2533,"PEÇA DECORATIVA - IM.A18.PD012",50.00,EXCLU,"prix < 80 €",OK,,
2534,"PEÇA DECORATIVA - IM.A18.PD018",70.00,EXCLU,"prix < 80 €",OK,,
2535,"PEÇA DECORATIVA - IM.A18.PD031",60.00,EXCLU,"prix < 80 €",OK,,
2536,"PEÇA DECORATIVA - IM.A18.PD043",40.00,EXCLU,"prix < 80 €",OK,,
2537,"PEÇA DECORATIVA - IM.A18.PD045",40.00,EXCLU,"prix < 80 €",OK,,
2538,"PEÇA DECORATIVA - IM.A18.PD046",40.00,EXCLU,"prix < 80 € ; hors stock",OK,,
2539,"IM.A18.PD049 - PEÇA DECORATIVA",60.00,EXCLU,"prix < 80 €",OK,,
2540,"IM.A36.JR004 - JARRA",15.00,EXCLU,"prix < 80 €",OK,,
2541,"IM.A36.JR005 - JARRA",15.00,EXCLU,"prix < 80 €",OK,,
2542,"IM.A36.JR006 - JARRA",15.00,EXCLU,"prix < 80 €",OK,,
2543,"IM.A36.JR009 - JARRA",40.00,EXCLU,"prix < 80 €",OK,,
2552,"IM.A36.JR010 - JARRA",30.00,EXCLU,"prix < 80 €",OK,,
2553,"IM.A36.JR012 - JARRA",40.00,EXCLU,"prix < 80 €",OK,,
2554,"IM.A38.JR005 - JARRA AMARELA",30.00,EXCLU,"prix < 80 €",OK,,
2555,"IM.A38.JR017 - JARRA AZUL",15.00,EXCLU,"prix < 80 €",OK,,
2556,"JARRA CASTANHA - IM.A48.JR009",35.00,EXCLU,"prix < 80 €",OK,,
2557,"JARRA CASTANHA - IM.A48.JR012",30.00,EXCLU,"prix < 80 €",OK,,
2558,"JARRA CASTANHA - IM.A48.JR014",20.00,EXCLU,"prix < 80 €",OK,,
2559,"IM.A48.JR016 - JARRA CASTANHA",30.00,EXCLU,"prix < 80 €",OK,,
2560,"IM.A48.JR017 - JARRA CASTANHA",20.00,EXCLU,"prix < 80 €",OK,,
2561,"IM.A48.JR028 - JARRA CINZA",30.00,EXCLU,"prix < 80 €",OK,,
2562,"IM.A48.JR029 - JARRA CINZA",25.00,EXCLU,"prix < 80 €",OK,,
2563,"IM.A48.JR033 - JARRA CINZA",30.00,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2564,"JARRA - IM.A51.JR001",25.00,EXCLU,"prix < 80 €",OK,,
2565,"IM.A51.JR002 - JARRA",40.00,EXCLU,"prix < 80 €",OK,,
2566,"JARRA - IM.A51.JR003",20.00,EXCLU,"prix < 80 €",OK,,
2567,"IM.A51.JR012 - JARRA",25.00,EXCLU,"prix < 80 €",OK,,
2568,"JARRA - IM.A51.JR013",15.00,EXCLU,"prix < 80 € ; hors stock",OK,,
2569,"IM.A51.PO002 - POTE",30.00,EXCLU,"prix < 80 €",OK,,
2570,"IM.A51.PO003 - POTE",30.00,EXCLU,"prix < 80 €",OK,,
2571,"IM.A51.PO004 - POTE",40.00,EXCLU,"prix < 80 €",OK,,
2572,"Im.a64.Il006.C - Candeeiro de Pé",280.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"titre normalisé (casse), description nettoyée",
2573,"IM.A69.JR019 - JARRA PRETA",15.00,EXCLU,"prix < 80 €",OK,,
2574,"IM.A69.JR029 - JARRA",20.00,EXCLU,"prix < 80 € ; aucune image ; hors stock ; image placeholder",OK,,
2575,"IM.A69.JR030 - JARRA VERDE",15.00,EXCLU,"prix < 80 €",OK,,
2576,"IM.A69.JR031 - JARRA",25.00,EXCLU,"prix < 80 €",OK,,
2577,"IM.A71.JR007 - JARRA",10.00,EXCLU,"prix < 80 € ; hors stock",OK,,
2578,"IM.A71.JR035 - JARRA",20.00,EXCLU,"prix < 80 €",OK,,
2579,"IM.A71.JR039 - JARRA",15.00,EXCLU,"prix < 80 €",OK,,
2580,"IM.A71.JR041 - JARRA",20.00,EXCLU,"prix < 80 €",OK,,
2581,"IM.A71.JR042 - JARRA",20.00,EXCLU,"prix < 80 €",OK,,
2582,"IM.A71.JR047 - JARRA",20.00,EXCLU,"prix < 80 €",OK,,
2583,"IM.A71.JR048 - JARRA",15.00,EXCLU,"prix < 80 €",OK,,
2584,"JARRA - IM.A71.JR053",20.00,EXCLU,"prix < 80 €",OK,,
2585,"IM.A76.PD002 - PEÇA DECORATIVA",40.00,EXCLU,"prix < 80 €",OK,,
2586,"PEÇA DECORATIVA - IM.A76.PD019",15.00,EXCLU,"prix < 80 €",OK,,
2587,"IM.A86.JR003 - JARRA",20.00,EXCLU,"prix < 80 €",OK,,
2588,"IM.A86.JR004 - JARRA",30.00,EXCLU,"prix < 80 €",OK,,
2589,"IM.A86.JR005 - JARRA",30.00,EXCLU,"prix < 80 €",OK,,
2590,"IM.A86.JR006 - JARRA",20.00,EXCLU,"prix < 80 €",OK,,
2591,"IM.A86.JR010 - JARRA",20.00,EXCLU,"prix < 80 € ; hors stock",OK,,
2592,"IM.A86.JR013 - JARRA",30.00,EXCLU,"prix < 80 €",OK,,
2593,"IM.A86.JR014 - JARRA",30.00,EXCLU,"prix < 80 €",OK,,
2594,"IM.A87.JR010 - JARRA",30.00,EXCLU,"prix < 80 €",OK,,
2595,"IM.A89.PO009 - POTE",40.00,EXCLU,"prix < 80 €",OK,,
2596,"IM.A89.PO010 - POTE",30.00,EXCLU,"prix < 80 €",OK,,
2597,"IM.A91.JR006 - JARRA",30.00,EXCLU,"prix < 80 €",OK,,
2598,"IM.A91.JR008 - JARRA",40.00,EXCLU,"prix < 80 €",OK,,
2602,"IM.A91.JR012 - Jarra",25.00,EXCLU,"prix < 80 €",OK,,
2603,"IM.A91.JR016 - Jarra",30.00,EXCLU,"prix < 80 €",OK,,
2604,"IM.A91.JR017 - Jarra",30.00,EXCLU,"prix < 80 €",OK,,
2605,"IM.A91.JR018 - Jarra",30.00,EXCLU,"prix < 80 €",OK,,
2606,"IM.A93.PD001 - Peça Decorativa",120.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
2607,"IM.A93.PD010 - Peça Decorativa",100.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
2608,"IM.A94.JR001 - Jarra",20.00,EXCLU,"prix < 80 €",OK,,
2609,"IM.A94.JR002 - Jarra",15.00,EXCLU,"prix < 80 €",OK,,
2610,"IM.A94.JR005 - Jarra",25.00,EXCLU,"prix < 80 €",OK,,
2611,"IM.A94.JR006 - Jarra",20.00,EXCLU,"prix < 80 €",OK,,
2612,"IM.A94.JR007 - Jarra",25.00,EXCLU,"prix < 80 €",OK,,
2613,"IM.A94.JR008 - Jarra",20.00,EXCLU,"prix < 80 €",OK,,
2614,"IM.A94.JR009 - Jarra",25.00,EXCLU,"prix < 80 €",OK,,
2615,"IM.A94.JR010 - Jarra",15.00,EXCLU,"prix < 80 €",OK,,
2616,"IM.A94.JR015 - JARRA",20.00,EXCLU,"prix < 80 €",OK,,
2617,"IM.A94.JR016 - JARRA",15.00,EXCLU,"prix < 80 €",OK,,
2618,"IM.A94.JR017 - JARRA",20.00,EXCLU,"prix < 80 €",OK,,
2619,"IM.A94.JR018 - Jarra",15.00,EXCLU,"prix < 80 €",OK,,
2620,"IM.A94.JR021 - JARRA",20.00,EXCLU,"prix < 80 €",OK,,
2621,"IM.A94.JR022 - JARRA",10.00,EXCLU,"prix < 80 €",OK,,
2622,"IM.B08.JR002 - JARRA VIDRO C/ BASE METAL",15.00,EXCLU,"prix < 80 €",OK,,
2623,"IM.B08.JR005 - JARRA VIDRO C/ BASE METAL",15.00,EXCLU,"prix < 80 €",OK,,
2624,"IM.B08.JR008 - JARRA VIDRO C/ BASE METAL",15.00,EXCLU,"prix < 80 € ; aucune image ; hors stock ; image placeholder",OK,,
2625,"JARRA VIDRO C/ BASE METAL - IM.B08.JR014",15.00,EXCLU,"prix < 80 €",OK,,
2626,"IM.C14.JR023 - JARRA",30.00,EXCLU,"prix < 80 €",OK,,
2627,"IM.C14.JR025 - JARRA",25.00,EXCLU,"prix < 80 €",OK,,
2628,"IM.C14.JR026 - JARRA",25.00,EXCLU,"prix < 80 €",OK,,
2629,"IM.C14.JR027 - JARRA",25.00,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2630,"IM.C14.JR028 - JARRA",20.00,EXCLU,"prix < 80 €",OK,,
2631,"JARRA - IM.C14.JR029",20.00,EXCLU,"prix < 80 €",OK,,
2632,"IM.C14.JR032 - JARRA",30.00,EXCLU,"prix < 80 €",OK,,
2633,"JARRA - IM.C14.JR034",20.00,EXCLU,"prix < 80 €",OK,,
2634,"IM.C14.JR035 - JARRA",15.00,EXCLU,"prix < 80 €",OK,,
2635,"IM.C14.JR036 - JARRA",15.00,EXCLU,"prix < 80 €",OK,,
2636,"IM.C14.JR037 - JARRA",20.00,EXCLU,"prix < 80 €",OK,,
2637,"IM.C14.JR038 - JARRA",15.00,EXCLU,"prix < 80 €",OK,,
2638,"IM.C14.JR039 - JARRA",15.00,EXCLU,"prix < 80 €",OK,,
2639,"IM.C41.JR037 - Jarra",20.00,EXCLU,"prix < 80 €",OK,,
2640,"IM.C41.JR038 - JARRA",20.00,EXCLU,"prix < 80 €",OK,,
2641,"IM.C41.JR039 - JARRA",25.00,EXCLU,"prix < 80 €",OK,,
2642,"IM.C92.PD020 - Peça Decorativa",50.00,EXCLU,"prix < 80 €",OK,,
2643,"IM.C92.PD022 - Peça Decorativa",100.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
2644,"IM.C92.QD074 - Quadro 180x60 cm",150.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
2645,"IM.C92.QD091 - Quadro 80x80 cm",190.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
2646,"IM.C93.JR001 - Jarra",40.00,EXCLU,"prix < 80 €",OK,,
2647,"IM.C93.JR002 - JARRA",30.00,EXCLU,"prix < 80 €",OK,,
2648,"IM.C93.JR003 - JARRA",40.00,EXCLU,"prix < 80 €",OK,,
2649,"IM.D45.PD025 - Peça Decorativa Bronze",70.00,EXCLU,"prix < 80 €",OK,,
2650,"IM.D45.PD026 - Peça Decorativa Bronze",120.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
2651,"IM.D45.PD027 - Peça Decorativa Bronze",80.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
2652,"IM.D45.PD028 - Peça Decorativa Bronze",90.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
2653,"IM.D80.JR043 - Jarra",50.00,EXCLU,"prix < 80 €",OK,,
2654,"IM.D80.JR044 - JARRA",30.00,EXCLU,"prix < 80 €",OK,,
2655,"IM.D80.JR049 - JARRA",60.00,EXCLU,"prix < 80 €",OK,,
2656,"IM.D80.JR050 - JARRA",40.00,EXCLU,"prix < 80 €",OK,,
2657,IM.D80.JR060,30.00,EXCLU,"prix < 80 € ; hors stock",OK,,
2658,IM.D80.JR061,20.00,EXCLU,"prix < 80 €",OK,,
2659,IM.D80.JR062,30.00,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2660,"IM.D80.PD012 - PEÇA DECORATIVA",30.00,EXCLU,"prix < 80 €",OK,,
2661,"IM.D80.PD017 - PEÇA DECORATIVA",30.00,EXCLU,"prix < 80 €",OK,,
2662,"IM.D80.PD018 - PEÇA DECORATIVA",30.00,EXCLU,"prix < 80 €",OK,,
2663,"JARRA - IM.D84.JR006",40.00,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2664,"IM.D84.JR007 - JARRA",40.00,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2665,"IM.D84.JR017 - JARRA",20.00,EXCLU,"prix < 80 €",OK,,
2666,"IM.D92.BO001 - BOLA",10.00,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2667,"IM.D92.JR020 - JARRA",30.00,EXCLU,"prix < 80 €",OK,,
2668,"IM.D98.CB006 - PORTA VELA",5.00,EXCLU,"prix < 80 €",OK,,
2669,"JARRA - IM.D98.JR007",10.00,EXCLU,"prix < 80 €",OK,,
2670,"JARRA - IM.D98.JR008",15.00,EXCLU,"prix < 80 €",OK,,
2671,"JARRA - IM.D98.JR009",20.00,EXCLU,"prix < 80 €",OK,,
2672,"IM.D98.JR021 - JARRA",40.00,EXCLU,"prix < 80 €",OK,,
2673,"IM.D98.JR024 - JARRA",25.00,EXCLU,"prix < 80 €",OK,,
2674,"IM.D98.JR026 - JARRA",30.00,EXCLU,"prix < 80 €",OK,,
2675,"IM.D98.PD002 - PEÇA DECORATIVA",30.00,EXCLU,"prix < 80 €",OK,,
2676,"IM.D98.PD003 - PEÇA DECORATIVA",20.00,EXCLU,"prix < 80 €",OK,,
2677,"IM.D98.PO003 - POTE",30.00,EXCLU,"prix < 80 €",OK,,
2678,"IM.D98.PO007 - POTE",30.00,EXCLU,"prix < 80 €",OK,,
2679,"IM.D98.PO008 - POTE",20.00,EXCLU,"prix < 80 €",OK,,
2680,"IM.D98.PO009 - POTE",35.00,EXCLU,"prix < 80 €",OK,,
2681,"IM.D98.PO010 - POTE",30.00,EXCLU,"prix < 80 €",OK,,
2682,"IM.E12.JR010 - JARRA",40.00,EXCLU,"prix < 80 €",OK,,
2683,"IM.E12.JR011 - JARRA",25.00,EXCLU,"prix < 80 € ; hors stock",OK,,
2684,"IM.E13.CB004 - CANDELABRO CASTANHO",40.00,EXCLU,"prix < 80 €",OK,,
2685,"IM.E13.VS003 - SET 3 VASOS CINZA",20.00,EXCLU,"prix < 80 €",OK,,
2686,"IM.H08.JR008 - JARRA",10.00,EXCLU,"prix < 80 € ; hors stock",OK,,
2687,"IM.I06.BO009 - SET 3 BOLAS",30.00,EXCLU,"prix < 80 €",OK,,
2688,"IM.I25.IL002.C - CANDEEIRO DE PÉ",459.00,EXCLU,"aucune image ; image placeholder",OK,,
2689,"Im.i25.Il006 - Candeeiro de Pé",339.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"titre normalisé (casse), description nettoyée",
2690,"LF.I22.VS001.A6.1 - VASOS",15.00,EXCLU,"prix < 80 €",OK,,
2691,"LF.I22.VS001.A6.2 - VASOS",20.00,EXCLU,"prix < 80 €",OK,,
2692,"LF.I22.VS001.A6.3 - VASOS",40.00,EXCLU,"prix < 80 €",OK,,
2693,"IM.A12.PD017 - PEÇA DECORATIVA DOURADA",10.00,EXCLU,"prix < 80 €",OK,,
2694,"IM.A76.PD013 - PEÇA DECORATIVA",20.00,EXCLU,"prix < 80 €",OK,,
2695,"Im.a93.Pd009 - Peça Decorativa",100.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"titre normalisé (casse), description nettoyée",
2696,"IM.B08.JR007 - JARRA VIDRO C/ BASE METAL",10.00,EXCLU,"prix < 80 €",OK,,
2698,"EROS Consola",149.00,EXCLU,"hors stock",OK,,
2700,"CADEIRA TONGA MENTA",119.00,EXCLU,"aucune image ; image placeholder",OK,,
2701,"CADEIRA TONGA VERDE ESCURO",119.00,EXCLU,"aucune image ; image placeholder",OK,,
2702,"CADEIRA TONGA CINZA",119.00,EXCLU,"aucune image ; image placeholder",OK,,
2703,"CADEIRA TONGA BEGE",119.00,EXCLU,"aucune image ; image placeholder",OK,,
2706,"CADEIRA PRETA SEM BRAÇOS - 22020096",89.00,EXCLU,"aucune image ; image placeholder",OK,,
2707,"CADEIRA COM BRAÇOS VENUS PRETA 22020118",89.00,EXCLU,"aucune image ; image placeholder",OK,,
2708,"GALAN NEGRO HOLSTEBRO",79.00,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2709,"PERCHERO BLANCO Y MADERA MALMÖ",39.00,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2710,"PERCHERO NEGRO Y MADERA MALMÖ",59.00,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2711,"MS01 Camiseiro",159.00,INCLUS,,MÉDIO,"description nettoyée",762
2712,"MS01 Cómoda",199.00,INCLUS,,MÉDIO,"description nettoyée",528
2713,"CLYDE Mesa de Cabeceira",69.00,EXCLU,"prix < 80 €",OK,,
2714,"CLYDE - CAMISEIRO 2G + 4G",289.00,EXCLU,"aucune image ; image placeholder",OK,,
2715,"CLYDE Camiseiro",169.00,INCLUS,,MÉDIO,"description nettoyée",582
2716,"CLYDE Conjunto 2 Gavetões",99.00,INCLUS,,MÉDIO,"description nettoyée",715
2717,"KENT Aparador",225.00,INCLUS,,MÉDIO,"description nettoyée",668
2718,"KENT Armário",199.00,INCLUS,,MÉDIO,"description nettoyée",676
2719,"KENT Base TV",145.00,INCLUS,,MÉDIO,"description nettoyée",476
2720,"KENT Mesa de Centro",159.00,INCLUS,,MÉDIO,"description nettoyée",864
2721,"Castel - Espelho",179.00,INCLUS,,MÉDIO,"titre normalisé (casse), description nettoyée",795
2722,"Castel- Consola",189.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"titre normalisé (casse), description nettoyée",
2723,"Castel- Mesa Redonda Extensível",549.00,INCLUS,,MÉDIO,"titre normalisé (casse), description nettoyée",458
2724,"Castel - Mesa de Jantar Retangular Extensível",589.00,INCLUS,,MÉDIO,"titre normalisé (casse), description nettoyée",457
2725,"CASTEL Mesa de Centro c/ Tampo Elevatório",349.00,INCLUS,,MÉDIO,"description nettoyée",953
2726,"CASTEL Aparador",469.00,INCLUS,,MÉDIO,"description nettoyée",632
2727,"CASTEL Base TV",379.00,INCLUS,,MÉDIO,"description nettoyée",467
2728,"CASTEL Biblioteca 1 Porta",369.00,INCLUS,,MÉDIO,"description nettoyée",506
2729,"CASTEL Estante 2 Portas",359.00,INCLUS,,MÉDIO,"description nettoyée",785
2730,"CASTEL Vitrine",609.00,INCLUS,,MÉDIO,"description nettoyée",736
2732,"PULP Mesa de Jantar",609.00,INCLUS,,OK,,493
2733,"PULP Mesa de Jantar",559.00,INCLUS,,OK,,197
2734,"PULP Mesa de Centro",379.00,INCLUS,,MÉDIO,"description nettoyée",899
2735,"PULP Aparador",619.00,INCLUS,,MÉDIO,"description nettoyée",808
2736,"PULP Base TV 2 Portas",479.00,INCLUS,,MÉDIO,"description nettoyée",816
2737,"CAMA P/ANIMAIS 60X40X20CM 3386",8.00,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2738,"CAMA P/ANIMAIS 80X60X25CM 3387",9.60,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2739,"WC ELLA P/GATOS CINZA/BRANCO 57X39X38",9.60,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2740,"BALDE P/LIXO 50L C/TPA CINZA DS00050",8.00,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2741,"BALDE P/LIXO 50L C/TPA MOCCA DM00050",8.00,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2742,"WC ELLA P/GATOS ROSA/BRANCO 57X39X38 CE0010(CX6)20***10€",9.60,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2743,"MALA TRANSP GATOS 44,5X31,5X33 CT10",9.60,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2744,"PORTA GUARDANAPOS 20X20X8.5CM",1.60,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2745,"CAPA ARQUIVO A4 SK 206-034CX60",1.60,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2746,"CANECA MUG 11X10 CM  450-331",1.60,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2747,"MASSAJADOR CABEÇA 2060-026-01 CX126 (Q12)",1.60,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2748,"VASO C/ CACTO 207-116-01 CX144 (Q12)",0.80,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2749,"BLOCO NOTAS A7 160P 1595-075 CX192",0.80,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2750,"BLOCO DE NOTAS A7 1595-101 CX192",1.00,EXCLU,"prix < 80 € ; aucune image ; hors stock ; image placeholder",OK,,
2751,"PORTA FOTOS 10X15CM 1819-214 CX96(Q12)",0.80,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2752,"JARRA VIDRO 8X19CM 2407-300",1.60,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2753,"TOALHA MESA 137X183CM 2448-600",2.00,EXCLU,"prix < 80 € ; aucune image ; hors stock ; image placeholder",OK,,
2754,"BORRACHA 4UN 2556-305 CX288",0.80,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2755,"ESCOVA CABELO OVAL 2633-001 CX120",0.80,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2756,"PENTE 2816-100 CX240",0.80,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2757,"SET 2 TESOURAS +PENTE 2816-103 CX120",1.60,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2758,"LIMA PEDICURE DUPLA 2816-300",1.60,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2759,"BOLSA TERM 22X13X18CM 2860-000 CX48 (Q12)",1.60,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2760,"PULVERIZADOR AZEITE 200ML 2900-050",1.60,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2761,"VASO  9,5X9CM 2707-000B CX216 (Q12)",0.80,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2762,"CARRO COMPRAS 2 RODAS SK 560-007-02",8.00,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2763,"CARRO COMPRAS 2 RODAS SK 560-007-04",8.00,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2764,"BLOCO NOTAS A6 160P 1595-075-01 CX144",1.60,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2765,"LAPIS C/BORRACHA 6UN 1602-056-06 CX144",1.00,EXCLU,"prix < 80 € ; aucune image ; hors stock ; image placeholder",OK,,
2766,"PORTA FOTOS GATO 17X25,5 1819-213-01 CX60",0.80,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2767,"PRATO PIZZA REDONDO",1.60,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2768,"GARRAFA ALUMUNIO 500ML 203-138-500",1.60,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2769,"PORTA FOTOS 20X25 2336-005-02 CX24",1.60,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2770,"JARRA VIDRO 8X19CM 2407-300-01",1.60,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2771,"JARRA VIDRO 8X19CM 2407-300-02",1.60,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2772,"PORTA FOTOS MDF 15X20 2422-053-01 CX24",1.60,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2773,"CANETAS FELTRO 12UN 2456-102-12 CX240",1.60,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2774,"PULVERIZADOR 1.8L 2630-774-1.8",1.60,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
2775,"ESCOVA CABELO OVAL 2633-001-02 CX120 (Q12)",0.80,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
